,open,high,low,close,volume
1686155040000,1840.86,1841.42,1840.37,1840.64,9.96832
1686155100000,1840.34,1840.34,1835.96,1836.33,7.53839
1686155160000,1836.42,1836.52,1835.16,1836.52,12.33234
1686155220000,1836.63,1836.74,1834.47,1834.47,8.70823
1686155280000,1834.17,1835.37,1833.79,1834.24,16.15379
1686155340000,1834.3,1837.13,1834.3,1837.13,14.50132
1686155400000,1836.22,1836.71,1835.07,1836.71,12.90352
1686155460000,1836.81,1840.7,1836.81,1840.7,21.75443
1686155520000,1840.72,1841.02,1839.88,1841.02,12.7017
1686155580000,1841.09,1842.01,1840.72,1841.94,14.9885
1686155640000,1842.0,1843.87,1841.62,1842.38,21.71451
1686155700000,1841.76,1842.47,1840.24,1840.35,9.69027
1686155760000,1840.39,1841.31,1839.94,1840.36,18.06849
1686155820000,1839.89,1839.93,1839.14,1839.84,9.55466
1686155880000,1839.99,1840.03,1839.01,1839.45,6.5605
1686155940000,1839.3,1841.17,1839.01,1841.17,13.10744
1686156000000,1841.21,1841.22,1840.01,1840.03,9.00074
1686156060000,1840.1,1842.24,1840.1,1842.22,20.62359
1686156120000,1841.82,1841.82,1840.89,1840.89,5.75188
1686156180000,1840.77,1841.78,1840.77,1841.78,8.93442
1686156240000,1841.78,1842.32,1841.54,1841.93,10.99239
1686156300000,1842.21,1842.56,1841.33,1842.56,10.48357
1686156360000,1842.73,1843.96,1842.73,1843.96,12.28749
1686156420000,1843.97,1862.1,1843.79,1844.88,19.93321
1686156480000,1844.96,1845.22,1843.77,1844.17,7.03355
1686156540000,1844.33,1844.47,1843.86,1844.04,5.18079
1686156600000,1843.77,1843.85,1832.79,1842.66,12.46851
1686156660000,1842.5,1843.0,1841.68,1842.77,16.04222
1686156720000,1842.82,1842.99,1842.15,1842.65,15.20677
1686156780000,1842.65,1842.72,1842.41,1842.53,2.31886
1686156840000,1842.36,1842.38,1841.01,1841.06,6.93649
1686156900000,1840.81,1850.46,1840.78,1841.51,19.5464
1686156960000,1841.72,1842.49,1841.62,1841.62,6.7164
1686157020000,1841.51,1841.56,1841.01,1841.28,2.8092
1686157080000,1841.3,1841.44,1840.42,1840.44,6.83841
1686157140000,1840.51,1840.61,1840.33,1840.33,3.10254
1686157200000,1840.33,1841.16,1840.22,1841.16,9.68054
1686157260000,1840.61,1840.99,1840.61,1840.94,4.363
1686157320000,1841.0,1841.61,1840.51,1840.54,8.84233
1686157380000,1840.36,1840.38,1840.24,1840.24,1.4517
1686157440000,1840.23,1840.27,1829.12,1839.04,19.47452
1686157500000,1838.58,1838.95,1837.04,1837.04,8.68269
1686157560000,1835.99,1841.57,1835.99,1841.57,20.70318
1686157620000,1840.74,1841.1,1838.55,1838.78,10.70923
1686157680000,1838.8,1841.88,1838.8,1841.88,16.75273
1686157740000,1841.91,1843.17,1841.51,1841.88,10.60205
1686157800000,1841.88,1842.16,1834.85,1842.1,25.19949
1686157860000,1841.39,1841.39,1840.95,1840.95,2.33062
1686157920000,1840.98,1841.75,1840.51,1840.51,13.29916
1686157980000,1840.29,1840.38,1838.8,1838.81,3.97056
1686158040000,1838.65,1838.86,1837.98,1838.86,7.04464
1686158100000,1838.86,1840.17,1838.77,1840.17,14.46358
1686158160000,1840.14,1842.18,1840.11,1842.18,13.53073
1686158220000,1842.33,1842.53,1841.32,1841.32,10.77779
1686158280000,1840.68,1840.81,1838.74,1838.75,4.85904
1686158340000,1838.75,1840.43,1838.75,1840.43,10.21374
1686158400000,1840.49,1840.77,1839.75,1839.75,6.88561
1686158460000,1839.57,1839.83,1838.54,1838.85,6.71519
1686158520000,1838.78,1840.27,1838.78,1840.27,11.79116
1686158580000,1840.38,1841.84,1840.22,1841.17,14.19321
1686158640000,1841.13,1841.4,1840.51,1840.89,9.04396
1686158700000,1840.52,1840.52,1838.93,1839.53,8.34098
1686158760000,1839.64,1841.01,1839.64,1841.01,9.9575
1686158820000,1841.0,1841.49,1840.97,1841.49,6.08948
1686158880000,1841.3,1841.79,1841.15,1841.79,5.64753
1686158940000,1841.81,1842.75,1841.81,1842.29,6.41119
1686159000000,1842.29,1842.29,1841.5,1841.57,5.63584
1686159060000,1841.31,1844.01,1840.89,1844.01,11.20658
1686159120000,1844.02,1952.94,1842.7,1843.84,30.45647
1686159180000,1843.82,1846.94,1843.82,1846.94,15.6994
1686159240000,1846.93,1847.43,1846.01,1846.25,13.67408
1686159300000,1846.01,1846.06,1846.01,1846.01,2.03492
1686159360000,1846.01,1846.19,1846.01,1846.03,3.24459
1686159420000,1846.01,1847.25,1835.51,1846.63,39.14107
1686159480000,1846.65,1846.9,1844.54,1846.61,18.2086
1686159540000,1846.22,1846.26,1844.04,1846.22,9.8886
1686159600000,1846.0,1846.42,1180.0,1809.9,35.5535
1686159660000,1846.0,1846.48,1802.4,1846.48,12.46916
1686159720000,1846.51,1846.85,1845.98,1846.65,11.19431
1686159780000,1846.69,1848.21,1846.69,1847.96,11.05384
1686159840000,1848.01,1952.94,1836.31,1848.44,47.12233
1686159900000,1848.01,1848.99,1848.01,1848.18,12.49195
1686159960000,1848.22,1848.47,1848.01,1848.07,3.93885
1686160020000,1848.01,1848.05,1848.01,1848.03,1.81167
1686160080000,1848.01,1848.38,1848.01,1848.38,1.37411
1686160140000,1848.36,1848.36,1848.01,1848.32,4.99665
