open_time,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1686710220000,1745.19000000,1745.46000000,1745.18000000,1745.45000000,45.46360000,1686710279999,79345.34137000,142,21.19920000,36997.50845400,0
1686710280000,1745.45000000,1745.46000000,1745.45000000,1745.46000000,34.19090000,1686710339999,59678.82216400,89,31.57590000,55114.47041400,0
1686710340000,1745.46000000,1745.61000000,1745.45000000,1745.61000000,27.30910000,1686710399999,47669.20343800,86,17.42680000,30418.99494100,0
1686710400000,1745.60000000,1745.61000000,1745.60000000,1745.61000000,29.50400000,1686710459999,51502.23402700,94,5.16270000,9012.06074700,0
1686710460000,1745.60000000,1745.61000000,1745.56000000,1745.57000000,48.42470000,1686710519999,84528.37569500,85,4.40230000,7684.55743100,0
1686710520000,1745.57000000,1745.57000000,1745.56000000,1745.56000000,8.96570000,1686710579999,15650.22707100,67,5.97790000,10434.84290300,0
1686710580000,1745.57000000,1745.57000000,1745.12000000,1745.13000000,45.54420000,1686710639999,79491.26059200,162,3.43760000,5999.44128800,0
1686710640000,1745.13000000,1745.13000000,1744.43000000,1744.45000000,112.49730000,1686710699999,196267.62053800,185,58.18050000,101494.13155800,0
1686710700000,1744.45000000,1744.83000000,1744.45000000,1744.83000000,58.83110000,1686710759999,102631.90853000,169,27.77200000,48448.73552100,0
1686710760000,1744.82000000,1745.28000000,1744.82000000,1744.86000000,92.72550000,1686710819999,161816.13416800,166,46.52520000,81187.81178100,0
1686710820000,1744.86000000,1745.05000000,1744.79000000,1745.04000000,124.98880000,1686710879999,218086.60002300,161,21.47000000,37462.24842900,0
1686710880000,1745.05000000,1745.11000000,1744.97000000,1744.97000000,38.67830000,1686710939999,67495.87866400,100,31.61710000,55173.61934400,0
1686710940000,1744.97000000,1744.98000000,1744.97000000,1744.98000000,7.42020000,1686710999999,12948.06816600,82,4.17720000,7289.13045600,0
1686711000000,1744.97000000,1744.98000000,1744.96000000,1744.97000000,51.07600000,1686711059999,89126.02996800,112,18.52220000,32320.69307400,0
1686711060000,1744.97000000,1745.76000000,1744.97000000,1745.75000000,89.41540000,1686711119999,156069.03323700,171,70.22450000,122571.00716400,0
1686711120000,1745.76000000,1746.00000000,1745.51000000,1745.52000000,92.89820000,1686711179999,162175.70893300,207,75.16400000,131215.18775100,0
1686711180000,1745.52000000,1745.52000000,1745.51000000,1745.52000000,5.34880000,1686711239999,9336.41201000,86,2.81220000,4908.75134400,0
1686711240000,1745.51000000,1745.52000000,1745.51000000,1745.52000000,6.61290000,1686711299999,11542.91962100,72,3.65420000,6378.47918400,0
1686711300000,1745.52000000,1746.23000000,1745.51000000,1746.23000000,53.86740000,1686711359999,94035.79648200,162,37.04470000,64668.90234400,0
1686711360000,1746.23000000,1746.61000000,1746.22000000,1746.36000000,59.98310000,1686711419999,104760.41915400,154,40.13880000,70101.01124000,0
1686711420000,1746.36000000,1746.54000000,1746.23000000,1746.24000000,52.40220000,1686711479999,91515.43145100,146,34.43000000,60128.47889400,0
1686711480000,1746.23000000,1746.24000000,1746.07000000,1746.07000000,19.19430000,1686711539999,33516.10951400,107,9.47440000,16543.75194900,0
1686711540000,1746.07000000,1746.78000000,1746.05000000,1746.77000000,124.73710000,1686711599999,217824.39765900,209,60.85630000,106279.17026600,0
1686711600000,1746.77000000,1747.53000000,1746.77000000,1747.32000000,83.53480000,1686711659999,145957.02176000,284,43.61400000,76201.65090700,0
1686711660000,1747.31000000,1747.32000000,1746.64000000,1746.64000000,83.55700000,1686711719999,145984.90832200,165,11.02300000,19256.87937700,0
1686711720000,1746.64000000,1746.65000000,1745.58000000,1745.58000000,56.67680000,1686711779999,98947.85718300,168,1.94170000,3389.87402700,0
1686711780000,1745.58000000,1745.59000000,1744.20000000,1744.31000000,261.79250000,1686711839999,456794.66907600,349,46.09490000,80408.31239200,0
1686711840000,1744.32000000,1744.46000000,1744.12000000,1744.27000000,82.05710000,1686711899999,143127.24523300,255,57.63980000,100536.12938000,0
1686711900000,1744.27000000,1745.21000000,1744.26000000,1745.02000000,92.47360000,1686711959999,161344.53053700,244,64.40170000,112356.74338700,0
1686711960000,1745.03000000,1745.55000000,1745.00000000,1745.00000000,63.91300000,1686712019999,111546.52333800,182,24.61510000,42956.20054500,0
1686712020000,1745.00000000,1745.37000000,1745.00000000,1745.36000000,132.39340000,1686712079999,231028.58284900,142,37.83840000,66029.99016900,0
1686712080000,1745.37000000,1745.65000000,1745.36000000,1745.44000000,47.39690000,1686712139999,82733.19988500,134,21.11570000,36857.89131700,0
1686712140000,1745.45000000,1745.45000000,1745.32000000,1745.42000000,22.76950000,1686712199999,39741.49778800,101,5.46560000,9539.40114800,0
1686712200000,1745.43000000,1745.97000000,1745.42000000,1745.96000000,43.35700000,1686712259999,75684.06338800,136,31.58120000,55125.51899800,0
1686712260000,1745.96000000,1745.97000000,1745.96000000,1745.96000000,12.82320000,1686712319999,22388.85520000,83,6.09280000,10637.84601600,0
1686712320000,1745.97000000,1746.00000000,1745.25000000,1745.26000000,171.03680000,1686712379999,298615.24438700,204,25.40010000,44347.02196300,0
1686712380000,1745.25000000,1745.26000000,1744.95000000,1744.95000000,23.56650000,1686712439999,41127.37190100,149,9.80100000,17103.89921900,0
1686712440000,1744.96000000,1745.42000000,1744.95000000,1745.41000000,32.29090000,1686712499999,56349.61020700,134,29.39990000,51304.66685500,0
1686712500000,1745.41000000,1745.69000000,1745.41000000,1745.69000000,57.70620000,1686712559999,100728.68281900,116,51.69630000,90237.42758000,0
